Rank,Electorate,State,Personal wellbeing index,SD,SE,95% CI lower bound,95% CI upper bound,Sample size,p value
115,Petrie,QLD,74.62,15.029,0.852,72.951,76.291,311,0.3795
116,Grey,SA,74.58,13.29,1.035,72.552,76.608,165,0.4452
117,Isaacs,VIC,74.57,11.616,0.996,72.617,76.522,136,0.4215
118,Blair,QLD,74.56,12.778,1.013,72.569,76.541,159,0.4214
119,Brisbane,QLD,74.55,12.718,1.064,72.461,76.63,143,0.4382
120,Greenway,NSW,74.53,12.011,1.015,72.541,76.52,140,0.4083
121,Wright,QLD,74.47,14.764,1.164,72.191,76.753,161,0.4403
122,Watson,NSW,74.42,12.171,1.262,71.95,76.898,93,0.4535
123,Herbert,QLD,74.35,13.037,1.054,72.285,76.417,153,0.3337
124,Dickson,QLD,74.35,11.583,0.907,72.569,76.125,163,0.2596
125,Barton,NSW,74.31,12.515,0.717,72.909,75.718,305,0.1405
126,Kingsford Smith,NSW,74.27,12.175,1.085,72.148,76.4,126,0.3124
127,Wentworth,NSW,74.11,12.037,1.085,71.984,76.239,123,0.2462
128,Lilley,QLD,74.09,13.898,0.723,72.676,75.509,370,0.0771
129,Macarthur,NSW,74.08,12.558,1.085,71.957,76.21,134,0.2356
130,Parramatta,NSW,73.84,12.688,0.718,72.434,75.25,312,0.0334
131,Longman,QLD,73.82,14.385,1.137,71.592,76.05,160,0.1733
132,Stirling,WA,73.64,10.979,1.061,71.565,75.725,107,0.1041
133,Solomon,NT,73.63,13.409,1.454,70.779,76.481,85,0.2317
134,Reid,NSW,73.61,13.545,1.231,71.199,76.026,121,0.1536
135,Rankin,QLD,73.55,12.537,1.164,71.265,75.828,116,0.1173
136,Burt,WA,73.38,12.408,1.235,70.961,75.8,101,0.1071
137,Wills,VIC,73.2,13.633,1.144,70.957,75.442,142,0.0578
138,Fowler,NSW,72.98,13.725,1.629,69.785,76.171,71,0.142
139,Lindsay,NSW,72.93,13.362,1.056,70.858,74.999,160,0.0208
140,Swan,WA,72.92,13.328,1.092,70.784,75.064,149,0.0251
141,Scullin,VIC,72.9,12.375,1.164,70.613,75.177,113,0.0335
142,Hinkler,QLD,72.67,14.119,1.334,70.051,75.281,112,0.0427
143,Calwell,VIC,72.63,13.077,1.378,69.933,75.337,90,0.0472
144,Moncrieff,QLD,72.03,13.767,1.428,69.229,74.826,93,0.0192
145,Werriwa,NSW,72,15.171,1.665,68.733,75.261,83,0.0428
146,McMahon,NSW,71.87,15.355,1.396,69.129,74.601,121,0.0121
147,Chifley,NSW,71.57,15.352,1.379,68.865,74.269,124,0.0058
148,Cowan,WA,71.48,12.615,1.161,69.201,73.753,118,0.0008
149,Holt,VIC,71.38,14.664,1.301,68.833,73.934,127,0.0022
150,Blaxland,NSW,71.23,13.802,1.497,68.293,74.161,85,0.0057
